"Since Elizabeth rarely gives interviews , little is known of her personal feelings .","Why is little known of her personal feelings ?","Since Elizabeth rarely gives interviews","AmCauQgTemplate"
"This idea contains the four main doctrines on the Bible : that its teaching is needed for salvation ( necessity ) ; that all the doctrine necessary for salvation comes from the Bible alone ( sufficiency ) ; that everything taught in the Bible is correct ( inerrancy ) ; and that , by the Holy Spirit overcoming sin , believers may read and understand truth from the Bible itself , though understanding is difficult , so the means used to guide individual believers to the true teaching is often mutual discussion within the church ( clarity ) .","For what purpose is its teaching needed ?","for salvation","AmPncQgTemplate"
"Miniature motors resemble the structure in the illustration , except that they have at least three rotor poles ( to ensure starting , regardless of rotor position ) and their outer housing is a steel tube that magnetically links the exteriors of the curved field magnets .","For what purpose do they have at least three rotor poles ( ?","to ensure starting , regardless of rotor","AmPncQgTemplate"
"Gene was coined in 1909 by Danish botanist Wilhelm Johannsen to describe the fundamental physical and functional unit of heredity , while the related word genetics was first used by William Bateson in 1905 .","For what purpose was by Danish botanist Wilhelm Johannsen coined Gene while the related word genetics was first used by William Bateson in 1905 in 1909 ?","to describe the fundamental physical and functional unit of heredity","AmPncQgTemplate"
"Australian anthropologist Peg LeVine coined the term "" ritualcide "" to describe the destruction of a group 's cultural identity without necessarily destroying its members .","For what purpose did Australian anthropologist Peg LeVine coin the term "" ritualcide "" ?","to describe the destruction of a group 's cultural identity without necessarily destroying its members","AmPncQgTemplate"
"The society was renamed to ICTV for the start of the 2014/15 academic year .","For what purpose was The society renamed to ICTV ?","for the start of the 2014/15 academic year","AmPncQgTemplate"
"As part of this commitment , the university allocates renewable energy credits to offset some of the energy used by residential colleges .","For what purpose does the university allocate renewable energy credits as part of this commitment ?","to offset some of the energy used by residential colleges","AmPncQgTemplate"
"Many railways chose low AC frequencies to overcome these problems .","For what purpose did Many railways choose low AC frequencies ?","to overcome these problems","AmPncQgTemplate"
"Migratory species in these groups have great difficulty crossing large bodies of water , since thermals only form over land , and these birds can not maintain active flight for long distances .","Why do Migratory species in these groups have great difficulty crossing large bodies of water ?","since thermals only form over land , and these birds can not maintain active flight for long distances","AmCauQgTemplate"
"West then says , "" I told you do not talk to me , right ? You trying to get me in trouble so I steal off on you and have to pay you like $ 250,000 and shit .","For what purpose do You try to get me in trouble ?","so I steal off on you and have to pay you like $ 250,000 and shit","AmPncQgTemplate"
"West then says , "" I told you do not talk to me , right ? You trying to get me in trouble so I steal off on you and have to pay you like $ 250,000 and shit .","For what purpose do You get me ?","so I steal off on you and have to pay you like $ 250,000 and shit","AmPncQgTemplate"
"However , Hok - Lam Chan states that "" there is little evidence that this was ever the emperor 's intention "" and that evidence indicates that Deshin Skekpa was invited strictly for religious purposes .","For what purpose was Deshin Skekpa invited strictly ?","for religious purposes","AmPncQgTemplate"
"Usually no more than half of eligible videos have a pre - roll advertisement , due to a lack of interested advertisers .","Why do no more than half of eligible videos have a pre - roll advertisement usually ?","due to a lack of interested advertisers","AmCauQgTemplate"
